"station_complex_id","station","borough","nta2020","nta_ratio","in_hi","in_six","entries","d_rr","d_rr18","d_rr21","team_score","y_250","y_250_no_top1","y_250_no_subloc","y_400","y_400_no_top1","y_400_no_subloc","y_600","y_600_no_top1","y_600_no_subloc","pop_250","pop_400","pop_600","area_km2_250","area_km2_400","area_km2_600"
394,"110 St (6)","Manhattan","MN1101",0.324169851299942,FALSE,FALSE,2436244,245.435571125058,1181.74254091036,2142.43101223223,45.7311320754717,3,2,3,4,3,4,4,3,4,7058.8112178056,15125.932826452,19985.5248511904,0.193461811672824,0.376042205785099,0.497996640421349
395,"103 St (6)","Manhattan","MN1101",0.324169851299942,FALSE,FALSE,2915996,381.631627427996,630.847273681718,2418.78260504909,56.3915094339623,0,0,0,1,1,1,1,1,1,7335.39830275932,15716.7387498943,21524.6476935901,0.196259835911034,0.419982179204869,0.61858967951238
396,"96 St (6)","Manhattan","MN0802",0.796366213218585,FALSE,FALSE,4019994,24.0571969964936,70.462163849041,1838.9578129756,47.6061320754717,5,5,5,12,12,12,17,16,17,9702.75663387162,17114.7012383856,20255.1099604516,0.180158943104449,0.363912748827001,0.526626523030937
397,"86 St (4,5,6)","Manhattan","MN0802",0.796366213218585,FALSE,FALSE,11244884,534.319792910791,650.348583610993,1105.73114882779,93.183962264151,5,5,3,7,7,5,14,13,12,9855.94596376472,18916.0335214907,22691.8634788001,0.18072362259017,0.386550948657435,0.566042609310071
398,"77 St (6)","Manhattan","MN0802",0.796366213218585,FALSE,FALSE,6603753,296.023888725269,296.023888725269,560.300399191436,65.5778301886792,4,4,4,5,5,5,13,11,13,7346.35839680553,16340.824562025,20821.6859180239,0.196259835910401,0.440101660430434,0.644898011802064
399,"68 St-Hunter College (6)","Manhattan","MN0802",0.796366213218585,FALSE,FALSE,5391266,510.721940117437,510.721940117437,685.168194052543,87.4174528301887,7,6,7,10,9,10,11,10,11,4841.17584541599,8700.56956347232,10089.0303586819,0.188534671059716,0.332211737976872,0.455106925139997
403,"33 St (6)","Manhattan","MN0501",0.696787909162235,FALSE,FALSE,6442731,311.473407989802,603.667861672278,724.009080728955,65.7783018867925,8,8,8,14,12,14,16,14,16,6472.98480027407,11999.0046992367,17319.4182962315,0.183226119273432,0.355138442637882,0.484480431215453
404,"28 St (6)","Manhattan","MN0602",1.26246054981878,FALSE,FALSE,4784950,360.454812275388,360.454812275388,875.99814895312,65.058962264151,8,8,8,10,9,10,16,14,16,5466.63211304331,8593.194932296,13363.5473490937,0.170596173054403,0.236941205475901,0.318510673625881
405,"23 St-Baruch College (6)","Manhattan","MN0501",0.696787909162235,FALSE,FALSE,6071816,191.851955377781,191.851955377781,470.561611230344,58.5377358490566,10,10,5,10,10,5,12,12,7,4628.25421834499,8374.35310622787,12030.5568841585,0.155558507857232,0.264021554895799,0.341350869890359
407,"Astor Pl (6)","Manhattan","MN0202",1.23593330174516,FALSE,FALSE,4099732,308.085075611777,308.085075611777,717.219073747065,59.0094339622642,1,1,1,5,5,5,5,5,5,5627.77188836682,9442.79704042502,10325.7035792146,0.131523845651908,0.225389234422712,0.249953117988441
409,"Spring St (6)","Manhattan","MN0201",1.02389093600833,FALSE,FALSE,3332273,239.174383714796,239.174383714796,1340.52293012603,51.5801886792453,4,4,4,6,6,6,6,6,6,2876.62850118882,3331.15713671298,3331.15713671298,0.134906248276404,0.158686217411659,0.158686217411659
413,"Wall St (4,5)","Manhattan","MN0101",0.553449068501232,FALSE,FALSE,3834481,404.504644357192,404.504644357192,592.941174164887,63.2665094339623,6,6,4,6,6,4,6,6,4,1666.12360050604,1668.18953341623,1668.18953341623,0.0648971050665746,0.0650265144450681,0.0650265144450681
414,"Bowling Green (4,5)","Manhattan","MN0101",0.553449068501232,FALSE,FALSE,5258468,253.70295367305,724.668860295724,724.668860295724,59.752358490566,1,1,1,1,1,1,1,1,1,1208.95179849152,2795.9057676326,3177.98371089811,0.114523285580398,0.161163292733567,0.169642200775952
416,"Wakefield-241 St (2)","Bronx","BX1203",2.31723664269181,TRUE,FALSE,925160,379.224956934985,1489.61704708017,2749.3926135003,28.4198113207547,0,0,0,0,0,0,0,0,0,2299.85403146422,5637.74100417877,9359.26042924401,0.196259835911084,0.469926256313236,0.768738746376058
417,"Nereid Av (2,5)","Bronx","BX1203",2.31723664269181,TRUE,FALSE,579744,388.076086702435,920.376284189893,2313.48827121707,21.8867924528302,1,1,1,1,1,1,3,3,3,2203.63322870615,5206.80533599034,8425.5744001466,0.196259835911026,0.442149872641788,0.694917321507691
418,"233 St (2,5)","Bronx","BX1203",2.31723664269181,TRUE,FALSE,799990,293.072967876518,293.072967876518,2035.64171533988,21.9575471698113,20,9,20,24,10,24,24,10,24,4145.70228734481,8848.04305505787,12068.0023642722,0.196259835911055,0.444155975891982,0.717072000661317
419,"225 St (2,5)","Bronx","BX1201",2.97356433786456,TRUE,TRUE,640107,136.898852757639,346.907044908091,1949.20400293108,10.8962264150943,1,1,1,1,1,1,2,2,2,4793.38212861009,9502.6662388133,11834.5172782919,0.196212365829257,0.40603971910204,0.645550435643582
420,"219 St (2,5)","Bronx","BX1201",2.97356433786456,TRUE,TRUE,557834,371.452182879441,839.476298543139,2020.54453779216,19.622641509434,2,2,2,3,3,3,3,3,3,3769.72366411507,7874.76686193407,10583.9067038119,0.19621236582925,0.429929574689463,0.702309708210957
421,"Gun Hill Rd (2,5)","Bronx","BX1201",2.97356433786456,TRUE,TRUE,1299502,359.417811795259,1092.03924386336,2308.35517051194,36.4150943396226,9,9,9,11,11,11,11,11,11,4570.67557872182,9313.21162194024,15048.1021805688,0.196259835911017,0.487503914849736,0.807777256494539
422,"Burke Av (2,5)","Bronx","BX1201",2.97356433786456,TRUE,TRUE,538237,331.494929241885,1003.99205758485,2902.53709151113,16.9339622641509,3,3,3,18,8,18,18,8,18,4544.49605833677,9446.37703362935,12212.2477210706,0.196259835911037,0.471277860165995,0.752485838297774
423,"Allerton Av (2,5)","Bronx","BX1104",1.08312687428049,FALSE,FALSE,891525,335.040118079639,1359.07091162799,3502.82355246462,25.377358490566,3,3,3,6,6,6,6,6,6,5360.51195789732,11464.289034816,16211.6783314891,0.196259835911042,0.479770547311929,0.863322387543507
424,"Pelham Pkwy (2,5)","Bronx","BX1101",1.35332961740908,FALSE,FALSE,1579860,358.456597095982,1356.90885515923,3027.93597344601,41.9575471698113,1,1,0,2,2,1,2,2,1,4740.41029150115,11003.2724441757,14481.827747567,0.196259835911013,0.484768454892051,0.817431484701802
425,"Bronx Park East (2,5)","Bronx","BX0601",0.337521721310818,FALSE,FALSE,501019,289.326368451393,973.302980616247,2465.49817008786,13.8797169811321,0,0,0,0,0,0,1,1,1,2023.46292014835,6039.10203636457,10439.4423739154,0.196259835911131,0.502425179932199,0.915555697159104
426,"E 180 St (2,5)","Bronx","BX0601",0.337521721310818,FALSE,FALSE,1898705,351.262489777541,859.648517730883,1835.44136530641,46.8985849056604,0,0,0,0,0,0,0,0,0,1517.6388039181,3733.07439944846,7904.54368177359,0.196259835911051,0.461091831440119,0.809869654111337
427,"West Farms Sq-E Tremont Av (2,5)","Bronx","BX0601",0.337521721310818,FALSE,FALSE,1230196,394.705363669876,544.760513173734,1266.77513394558,37.5353773584906,0,0,0,1,1,1,1,1,1,4072.13601466492,8864.63478566545,14506.7197908462,0.196259835911036,0.453201270177033,0.742886639695559
428,"174 St (2,5)","Bronx","BX0303",0.760247798328811,FALSE,FALSE,1340485,487.267919594987,667.791215474247,667.791215474247,43.2311320754717,0,0,0,2,2,2,2,2,2,3292.26562273179,8688.14799432139,14889.5572716244,0.196259835910999,0.494534618669133,0.885054635508064
429,"Freeman St (2,5)","Bronx","BX0303",0.760247798328811,FALSE,FALSE,940379,606.847441855536,849.097307295167,1099.24725513626,51.2735849056604,0,0,0,3,3,3,3,3,3,4072.34921935954,9216.94627031284,14615.3070134665,0.196259835911072,0.449837813377788,0.710393175648346
430,"Simpson St (2,5)","Bronx","BX0202",0.852152132216302,FALSE,FALSE,1693773,128.722764242307,1086.47909331891,1731.61594095389,32.5825471698113,1,1,1,2,2,2,2,2,2,4231.41562205275,6613.46608978911,7294.08045310663,0.172763774644837,0.271117357464561,0.300737698549604
431,"Intervale Av (2,5)","Bronx","BX0202",0.852152132216302,FALSE,FALSE,676202,245.74169042798,1096.04673554272,1939.20857372783,16.497641509434,0,0,0,1,1,1,1,1,1,5151.18700343517,8322.261895076,10621.3685188025,0.18194983424106,0.299760452996587,0.39208167933706
432,"Prospect Av (2,5)","Bronx","BX0102",1.55430740431305,TRUE,FALSE,1326999,269.085118791067,1297.84281985808,2293.54439371622,32.311320754717,1,1,1,5,5,5,5,5,5,5520.64669652323,10797.4600235352,14892.2471560888,0.19625983591106,0.373958021223126,0.498481536339306
433,"Jackson Av (2,5)","Bronx","BX0102",1.55430740431305,TRUE,FALSE,1107312,183.160710772573,1392.3937363151,2771.06142629955,23.0306603773585,1,1,1,4,4,4,6,6,6,5941.79446288709,12247.767370267,14898.5149344986,0.196259835911039,0.427701137864848,0.592652399424904
434,"3 Av-149 St (2,5)","Bronx","BX0102",1.55430740431305,TRUE,FALSE,4326279,375.439821646814,750.849398975753,2565.17699920839,63.9033018867924,5,5,5,9,9,9,12,12,12,4080.78835498057,11040.7631027118,19159.5636065402,0.196259835910478,0.502425179931535,0.815586526489666
436,"Harlem-148 St (3)","Manhattan","MN1002",0.839343219404944,FALSE,FALSE,707211,165.960675167773,206.78779559622,2430.5488653945,13.938679245283,1,1,1,1,1,1,1,1,1,7593.65092542732,12687.3434882361,13479.352036666,0.170049474816861,0.299861432877956,0.38124970013706
437,"145 St (3)","Manhattan","MN1002",0.839343219404944,FALSE,FALSE,690355,90.0492518799279,573.193296243739,2723.79993433256,10.8372641509434,0,0,0,1,1,1,2,2,2,6951.41488072853,12596.7071419522,15271.9066380773,0.17083458243899,0.333964925110251,0.413208914139813
