"nta2020","ntaname","n_tracts","boroname","n_boroughs","pop_total","households","pop_65plus","pop_disabled","pov_below","pov_universe","dis_universe","med_hh_income_hhwtd","inc_tracts_used","poverty_rate","pct_65plus","disability_rate","events_311_raw","events_311","events_per_100k","ntatype","cdta2020","is_residential","restrooms","subway_riders","n_stations","jobs","hotels","area_sqmi","pop_density","jobs_density","l_sub","l_jobs","l_hotel","l_rest","l_dens","inc10k","pov","old","boro","pred","resid_ratio"
"BK0702","Sunset Park (West)",18,"Brooklyn",1,50926,16922,6091,5325,9094,49064,49331,91023,14,0.185349747268873,0.119604916938303,0.107944294662585,63,33,64.7999057455916,0,"BK07",TRUE,4,14172709,6,42705,16,1.8070917824549,28181.1917327287,23631.8931969167,9.55914404861055,3.77746251203245,2.83321334405622,1.6094379124341,10.2464455586074,9.1023,18.5349747268873,11.9604916938303,"Brooklyn",31.9577130660158,1.03261456574915
"BK0703","Sunset Park (Central)",14,"Brooklyn",1,44499,13497,6183,3711,11523,44158,44484,66011,13,0.26094931835681,0.138946942627924,0.0834232533045589,49,30,67.4172453313558,0,"BK07",TRUE,1,2868392,1,13407,4,0.672717365319422,66148.1363408403,19929.6178323478,7.96185543962109,2.66771419957934,1.6094379124341,0.693147180559945,11.0996671133859,6.6011,26.094931835681,13.8946942627924,"Brooklyn",15.2370387565827,1.96888650605023
"BK0801","Prospect Heights",6,"Brooklyn",1,23969,11243,2955,1870,1628,23920,23962,173220,6,0.0680602006688963,0.123284242146105,0.0780402303647442,10,6,25.0323334306813,0,"BK08",TRUE,4,3450820,2,5403,0,0.369781356130766,64819.3847596898,14611.336970946,8.14665690715897,1.85676663053667,0,1.6094379124341,11.0793754124954,17.322,6.80602006688963,12.3284242146105,"Brooklyn",8.871089120845,0.676354382000446
"BK0802","Crown Heights (North)",22,"Brooklyn",1,85819,37294,10953,10967,17677,85042,85238,83554,22,0.207861997601185,0.127629079807502,0.128663272249466,62,28,32.6268075834023,0,"BK08",TRUE,3,427407,1,10205,8,1.27038639315264,67553.4628382062,8032.98906144204,6.06007367830938,2.41636010725289,2.19722457733622,1.38629436111989,11.1206894083889,8.3554,20.7861997601185,12.7629079807502,"Brooklyn",30.9356064310744,0.90510590320526
"BK0901","Crown Heights (South)",13,"Brooklyn",1,53466,20383,8314,6088,9011,52919,53398,79126,13,0.170279105803209,0.155500692028579,0.114011760740103,25,11,20.5738226162421,0,"BK09",TRUE,2,11864350,5,11706,4,0.719332212470232,74327.2705894741,16273.4266547036,9.38137766695987,2.54207432284434,1.6094379124341,1.09861228866811,11.2162466507929,7.9126,17.0279105803209,15.5500692028579,"Brooklyn",20.9612962091726,0.524776707042881
"BK0902","Prospect Lefferts Gardens-Wingate",14,"Brooklyn",1,44881,20116,7844,5516,8391,44117,44129,78018,14,0.190198789582247,0.17477328936521,0.12499716739559,36,17,37.8779438960807,0,"BK09",TRUE,9,7320972,4,13505,1,0.862269366534829,52049.8602198541,15662.1590933609,8.89863496958109,2.67449341757337,0.693147180559945,2.30258509299405,10.8599766007049,7.8018,19.0198789582247,17.477328936521,"Brooklyn",14.2980107597271,1.18897658462277
"BK1001","Bay Ridge",28,"Brooklyn",1,84838,35515,16669,9236,10544,84398,84577,95549,28,0.12493187042347,0.196480350786204,0.1092022653913,59,24,28.2892100238101,0,"BK10",TRUE,6,7337238,4,16861,3,2.21088413913186,38372.8837248401,7626.36074028772,8.90085403829496,2.88261956492235,1.38629436111989,1.94591014905531,10.5551323958629,9.5549,12.493187042347,19.6480350786204,"Brooklyn",31.0080115715863,0.773993519210113
"BK1002","Dyker Heights",17,"Brooklyn",1,39148,13587,7739,4634,7677,38873,38938,78684,17,0.197489259897615,0.197685705527741,0.119009707740511,24,16,40.8705425564524,0,"BK10",TRUE,5,0,0,15173,0,1.04450300760751,37480.0261127734,14526.5259070479,0,2.78334318513764,0,1.79175946922805,10.5315901135863,7.8684,19.7489259897615,19.7685705527741,"Brooklyn",6.4656116142548,2.4746305461226
"BK1101","Bensonhurst",28,"Brooklyn",1,94498,33338,15843,10155,17996,94306,94456,68344,28,0.190825610247492,0.167654341890834,0.107510375201152,66,32,33.8631505428686,0,"BK11",TRUE,1,10489919,8,26231,0,1.74453809377311,54167.9200570612,15036.0717794744,9.25826530479805,3.3043560302126,0,0.693147180559945,10.899862592272,6.8344,19.0825610247492,16.7654341890834,"Brooklyn",31.656910942891,1.01083773011612
"BK1102","Bath Beach",11,"Brooklyn",1,30170,10780,6068,3743,5294,29965,29986,81931,11,0.176672784915735,0.201126947298641,0.124824918295204,10,2,6.62910175671197,0,"BK11",TRUE,5,0,0,4711,0,0.737375851266458,40915.3621564666,6388.87209542971,0,1.74239413968273,0,1.79175946922805,10.6192853147565,8.1931,17.6672784915735,20.1126947298641,"Brooklyn",4.33970382506676,0.460860943654198
