name,chain,category,latitude,longitude,source
"DUNKIN',' BASKIN ROBBINS","Dunkin","chain restaurant / coffee","40.629075367568","-74.114937752515","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"MCDONALD'S","McDonald’s","chain restaurant / coffee","40.731218080873","-73.982258701416","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"DUNKIN","Dunkin","chain restaurant / coffee","40.743090356442","-73.993226281436","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"SUBWAY","Subway","chain restaurant / coffee","40.767035672158","-73.993797843013","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"BURGER KING","Burger King","chain restaurant / coffee","40.703725905471","-73.821340299727","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"SHAKE SHACK","Shake Shack","chain restaurant / coffee","40.758699509221","-73.989275731418","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"SHAKE SHACK","Shake Shack","chain restaurant / coffee","40.779260417173","-73.955060375189","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"POPEYES","Popeyes","chain restaurant / coffee","40.702223564768","-73.79151424692","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"DUNKIN","Dunkin","chain restaurant / coffee","40.711919601254","-73.941117590872","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"CHIPOTLE MEXICAN GRILL","Chipotle","chain restaurant / coffee","40.709604223664","-74.006521420949","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"SUBWAY","Subway","chain restaurant / coffee","40.752537631965","-73.973164747889","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"DUNKIN'","Dunkin","chain restaurant / coffee","40.575307730539","-73.9967062742","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"DUNKIN' / BASKIN ROBBINS","Dunkin","chain restaurant / coffee","40.596293383678","-73.984530808338","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"DUNKIN', BASKIN ROBBINS","Dunkin","chain restaurant / coffee","40.625086451921","-73.962113606163","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"MCDONALD'S","McDonald’s","chain restaurant / coffee","40.703402555624","-73.800051101349","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
