evnt_key,occur_date,law_desc,law_code,precinct,latitude,longitude
"262041937","2023-01-17T00:00:00.000","PUBLIC URINATION","16-118(6)","025","40.811802","-73.938326"
"262041941","2023-01-17T00:00:00.000","PUBLIC URINATION","16-118(6)","115","40.7565675846374","-73.8759315341335"
"262046867","2023-01-17T00:00:00.000","PUBLIC URINATION","16-118(6)","073","40.6711300016904","-73.9135020552048"
"262047836","2023-01-18T00:00:00.000","PUBLIC URINATION","16-118(6)","110","40.748476","-73.875904"
"262047842","2023-01-18T00:00:00.000","PUBLIC URINATION","16-118(6)","013","40.7372030985741","-73.9832725981497"
"262049582","2023-01-17T00:00:00.000","PUBLIC URINATION","16-118(6)","108","40.7431245994984","-73.9560680726795"
"262049584","2023-01-17T00:00:00.000","PUBLIC URINATION","16-118(6)","075","40.6713598203364","-73.8818110231735"
"262049585","2023-01-17T00:00:00.000","PUBLIC URINATION","16-118(6)","075","40.65273","-73.888459"
"262113350","2023-01-18T00:00:00.000","PUBLIC URINATION","16-118(6)","115","40.7565675846374","-73.8759315341335"
"262113358","2023-01-18T00:00:00.000","UNLAWFUL URINATION/DEFECATION IN PARK","751.6(L)","030","40.8286232400477","-73.9438488369889"
"262115416","2023-01-18T00:00:00.000","PUBLIC URINATION","16-118(6)","026","40.811938","-73.957318"
"262119190","2023-01-18T00:00:00.000","PUBLIC URINATION","16-118(6)","028","40.807982","-73.949049"
"262119193","2023-01-18T00:00:00.000","PUBLIC URINATION","16-118(6)","025","40.8009303727402","-73.9410982410066"
"262119194","2023-01-18T00:00:00.000","PUBLIC URINATION","16-118(6)","043","40.816541","-73.867664"
"262122042","2023-01-18T00:00:00.000","PUBLIC URINATION","16-118(6)","079","40.696104","-73.952707"
"262122044","2023-01-18T00:00:00.000","PUBLIC URINATION","16-118(6)","079","40.69429","-73.958654"
"262122492","2023-01-18T00:00:00.000","PUBLIC URINATION","16-118(6)","025","40.811123","-73.936714"
"262122494","2023-01-18T00:00:00.000","PUBLIC URINATION","16-118(6)","062","40.6022161657077","-74.0029507988395"
"262123305","2023-01-19T00:00:00.000","PUBLIC URINATION","16-118(6)","070","40.647636","-73.958145"
"262123306","2023-01-18T00:00:00.000","PUBLIC URINATION","16-118(6)","070","40.642851","-73.958581"
