prop_id,lon,lat,register_matches,register_id,register_name,listed_status,nearest_alternative_m,alternatives_within400m
X222,-73.90334,40.83576,1,113,Gouverneur Playground,Operational,307.522945705245,2
Q012B,-73.76774,40.77408,1,451,John Golden Park,Operational,265.439119748281,1
X115,-73.91474,40.83128,1,58,Mott Playground,Operational,456.567539146374,0
Q004-ZN01,-73.9251828571429,40.7759057142857,1,439,Astoria Park Zone 1,Operational,191.452830527653,1
M186,-73.9362444444445,40.8196222222222,1,391,Brigadier General Charles Young Playground,Operational,343.094109284276,2
Q099,-73.84574,40.73714,1,687,World's Fair Playground,Operational,523.716515984334,0
Q012-ZN01,-73.7693733333333,40.7720733333333,1,452,Crocheron Park Zone 1,Operational,264.781623610694,1
Q300B,-73.77644,40.74134,1,532,Holy Cow Playground,Operational,494.301640627507,0
B058-ZN01,-73.95004,40.72074,1,152,McCarren Park Zone 1,Operational,206.476441610554,1
B018-ZN05,-73.88318,40.636,1,132,Canarsie Park Zone 5,Operational,359.513177165493,1
Q300-04,-73.8148142857143,40.7435,1,255,Captain Mario Fajardo Park,Operational,270.078978161011,1
Q509,-73.75104,40.60726,0,,,,,
M190,-73.95602,40.81532,1,678,Sheltering Arms Playground,Operational,192.317275018416,1
Q327,-73.72084,40.74992,1,546,Castlewood Playground,Operational,730.15338099104,0
Q121-02,-73.7851428571429,40.7039857142857,1,504,Detective Keith L Williams Park,Operational,273.859384267859,1
Q031,-73.9106,40.74748,1,472,Lawrence Virgilio Playground,Operational,246.11011293663,1
X172,-73.85054,40.86566,1,89,Allerton Playground,Operational,492.432989387659,0
M369,-73.98346,40.71036,1,1061,Pier 42,Operational,345.653796494387,1
Q429,-73.9413142857143,40.7613857142857,1,600,Spirit Playground,Operational,421.70818184539,0
Q358,-73.73166,40.73228,1,567,Detective William T. Gunn Playground,Operational,732.168096168593,0
B159,-73.9658571428571,40.6721428571429,1,197,Mt Prospect Park Playground,Operational,201.629807235564,2
B236,-73.92008,40.63666,1,237,Glenwood Playground,Operational,445.92399691461,0
X045-01,-73.9105222222222,40.8099,1,37,St Mary's Playground East,Operational,408.661824967306,0
B315,-73.9927,40.57364,1,279,Surf Playground,Operational,221.367502060614,3
X030-ZN02,-73.9283666666667,40.8274777777778,1,26,Macombs Dam Park Zone 2 Lower,Operational,157.024252608653,1
X092-ZN12,-73.88132,40.88996,1,49,Allen Shandler Rec Area,Operational,403.788401237075,0
B269,-73.93244,40.69164,1,256,Jesse Owens Playground,Operational,309.600016903632,1
Q046,-73.86154,40.74378,1,475,Josephine Caminiti Playground,Operational,574.540013687952,0
Q343,-73.80832,40.79186,1,557,Whitestone Playground,Operational,419.098350044547,0
Q318,-73.70956,40.74484,1,542,Playground Eighty LXXX,Operational,448.132944084816,0
B049,-73.9092000000001,40.6927,1,1053,Irving Square Park,Operational,443.722849619795,0
R038,-74.09838,40.57478,1,445,Midland Playground,Operational,961.766229801711,0
M071,-73.98208,40.78732,1,353,River Run Playground,Operational,477.622897481264,0
X113,-73.8858571428572,40.8142857142857,1,57,Hunts Point Playground,Operational,830.635940074567,0
M042_temp,-73.9201173913044,40.8740043478261,1,669,Inwood Hill Park Zone 2,Operational,425.34154221304,0
B038,-73.9316176470588,40.6797764705883,1,140,Fulton Park,Operational,332.710549513083,2
B043,-73.95928,40.73564,1,142,Greenpoint Playground,Operational,337.597483710125,1
B025,-73.93732,40.71598,1,135,Carnegie Playground,Not Operational,783.245388508698,0
B141,-73.87624,40.67954,1,192,City Line Park,Operational,713.658177655355,0
B124,-73.9639571428571,40.7152714285714,1,182,William Sheridan Playground,Operational,298.204130109073,1
Q082,-73.7390166666667,40.7108333333333,1,481,Wayanda Park,Operational,1006.50533972454,0
M081-02,-73.9450363636364,40.7735727272727,2,,,,,
M028-ZN02A,-73.9461923076923,40.8471230769231,1,337,Fort Washington Park Zone 2A,Operational,460.830647439037,0
X148M1,-73.84794,40.82998,1,73,Havemeyer Playground,Operational,416.153531388218,0
Q307,-73.72864,40.68466,1,539,Delphin H. Greene Playground,Operational,143.981525791069,1
R062,-74.07124,40.59784,1,629,Arrochar Playground,Operational,734.42238540729,0
X021,-73.9033142857143,40.8329714285714,1,23,Drew Playground,Operational,228.209659658454,2
Q471,-73.9606846938775,40.7419775510204,1,605,Hunter's Point South Park Zone 1,Operational,396.574886232312,1
