type;statut;adresse;arrondissement;horaire;acces_pmr;relais_bebe;url_fiche_equipement;geo_shape;geo_point_2d
Sanisette;En service;1 rue de montreuil;75011;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3839940003683404, 48.85042799976941], ""type"": ""Point""}";48.85042799976941, 2.3839940003683404
Sanisette;En service;111 av daumesnil;75012;24/24h;Oui;Non;;"{""coordinates"": [2.380364000051836, 48.84498399967939], ""type"": ""Point""}";48.84498399967939, 2.380364000051836
WC;En service;113 avenue daumesnil;75012;Horaires du parc;Oui;Oui;https://www.paris.fr/lieux/square-philippe-farine-ex-square-du-mail-gatbois-2601;"{""coordinates"": [2.381996875345674, 48.84435659522636], ""type"": ""Point""}";48.84435659522636, 2.381996875345674
Sanisette;En service;90 crs de vincennes;75012;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.40746299964385, 48.847117999654465], ""type"": ""Point""}";48.847117999654465, 2.40746299964385
WC;Hors service;69 boulevard arago;75013;Horaires du parc;Non;Non;https://www.paris.fr/lieux/square-henri-cadiou-2529;"{""coordinates"": [2.342501412608784, 48.834474259928996], ""type"": ""Point""}";48.834474259928996, 2.342501412608784
Sanisette;En service;60 v bd saint-marcel;75013;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3556389995511884, 48.83791699997501], ""type"": ""Point""}";48.83791699997501, 2.3556389995511884
Sanisette;En service;70 bd jourdan;75014;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3288419999339864, 48.822634999746384], ""type"": ""Point""}";48.822634999746384, 2.3288419999339864
Sanisette;En service;159 bd brune;75014;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3211240000695974, 48.82435200002841], ""type"": ""Point""}";48.82435200002841, 2.3211240000695974
WC;En service;8 avenue de la sibelle;75014;Horaires du parc;Non;Non;https://www.paris.fr/lieux/jardin-et-aire-de-jeux-de-la-zac-alesia-montsouris-2867;"{""coordinates"": [2.3382298412088063, 48.82619075481292], ""type"": ""Point""}";48.82619075481292, 2.3382298412088063
WC;Hors service;1 avenue ernest reyer;75014;Horaires du parc;Oui;Non;https://www.paris.fr/lieux/square-jean-moulin-2589;"{""coordinates"": [2.318778528754187, 48.82377533751297], ""type"": ""Point""}";48.82377533751297, 2.318778528754187
Sanisette;En service;46 bd de vaugirard;75015;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3164160006734824, 48.840913000180066], ""type"": ""Point""}";48.840913000180066, 2.3164160006734824
WC;Hors service;2 rue jean formige;75015;Horaires du parc;Non;Non;https://www.paris.fr/lieux/square-saint-lambert-1768;"{""coordinates"": [2.2974060618595407, 48.842774535610474], ""type"": ""Point""}";48.842774535610474, 2.2974060618595407
Sanisette;En service;76 rue brancion;75015;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.302731999726336, 48.83193400009531], ""type"": ""Point""}";48.83193400009531, 2.302731999726336
Sanisette;En service;364 rue lecourbe;75015;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.2816640003019857, 48.83623800016424], ""type"": ""Point""}";48.83623800016424, 2.2816640003019857
WC;En service;1 rue duranton;75015;Horaires du parc;Non;Non;https://www.paris.fr/lieux/square-duranton-2534;"{""coordinates"": [2.285555470451857, 48.84127764690941], ""type"": ""Point""}";48.84127764690941, 2.285555470451857
Sanisette;En service;42 rue mirabeau;75016;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.2690679997469223, 48.845990000123685], ""type"": ""Point""}";48.845990000123685, 2.2690679997469223
WC;En service;41 rue mirabeau;75016;Horaires du parc;Non;Non;https://www.paris.fr/lieux/parc-sainte-perine-1806;"{""coordinates"": [2.2691726043891225, 48.844844108071605], ""type"": ""Point""}";48.844844108071605, 2.2691726043891225
WC;En service;1 boulevard de la somme;75017;Horaires du parc;Non;Non;https://www.paris.fr/lieux/square-sainte-odile-2642;"{""coordinates"": [2.2935815375928916, 48.88785096721723], ""type"": ""Point""}";48.88785096721723, 2.2935815375928916
Sanisette;En service;1 av emile et armand massard;75017;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.2975689997764004, 48.888861999774], ""type"": ""Point""}";48.888861999774, 2.2975689997764004
Sanisette;En service;19 rue francis de croisset;75018;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3444620003732797, 48.899396000353256], ""type"": ""Point""}";48.899396000353256, 2.3444620003732797
