park_name;type;location;geo_local_area;summer_hours;winter_hours;wheelchair_access;note;geom;geo_point_2d
;LargeAPT;Robson St and Granville St;Downtown;6am - 10pm;6am - 10pm;Yes;;"{""coordinates"": [-123.12006655436043, 49.28162689042019], ""type"": ""Point""}";49.28162689042019, -123.12006655436043
;SmallAPT;Powell St and Main St;Downtown;24hrs - 24hrs;24hrs - 24hrs;No;;"{""coordinates"": [-123.09985255600299, 49.28327564457818], ""type"": ""Point""}";49.28327564457818, -123.09985255600299
;LargeAPT;Main St and Terminal Ave;Strathcona;6am - 10pm;6am - 10pm;Yes;;"{""coordinates"": [-123.09976255831502, 49.273133087824995], ""type"": ""Point""}";49.273133087824995, -123.09976255831502
Brewers Park;Park - Field House;North east corner fieldhouse;Kensington-Cedar Cottage;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.06542594968943, 49.247854989502486], ""type"": ""Point""}";49.247854989502486, -123.06542594968943
Carnarvon Park;Park - Field House;West side, field house;Arbutus Ridge;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.17260900971546, 49.25674201569476], ""type"": ""Point""}";49.25674201569476, -123.17260900971546
Columbia Park;Park - Portland Loo;West Side;Oakridge;Dawn to Dusk Weekends only;Dawn to Dusk Weekends only;Yes;;"{""coordinates"": [-123.11313783023915, 49.2317747997683], ""type"": ""Point""}";49.2317747997683, -123.11313783023915
Fraser River Park;Park - Public Washroom;West corner;Kerrisdale;Dawn to Dusk;Closed;No;;"{""coordinates"": [-123.14985600420111, 49.20739499780086], ""type"": ""Point""}";49.20739499780086, -123.14985600420111
Granville Park;Park - Field House;Central, field house;Fairview;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.14196994941648, 49.25849301101233], ""type"": ""Point""}";49.25849301101233, -123.14196994941648
Hadden Park;Park - Field House;West, caretaker house (actually in Kits);Kitsilano;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.15030998197221, 49.27746099218739], ""type"": ""Point""}";49.27746099218739, -123.15030998197221
Hastings Community Park;Park - Field House;Central, field house;Hastings-Sunrise;Dawn to Dusk;Closed;No;;"{""coordinates"": [-123.03787394911473, 49.28064797025612], ""type"": ""Point""}";49.28064797025612, -123.03787394911473
John Hendry (Trout Lake) Park;Park - Field House;At Trout Lake;Kensington-Cedar Cottage;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.0613879883137, 49.25392603796801], ""type"": ""Point""}";49.25392603796801, -123.0613879883137
Jonathan Rogers Park;Park - Field House;North side, fieldhouse;Mount Pleasant;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.1076200160498, 49.26449802893671], ""type"": ""Point""}";49.26449802893671, -123.1076200160498
Locarno Park;Park - Field House;Concession at fieldhouse;West Point Grey;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.20655501267096, 49.27506599115432], ""type"": ""Point""}";49.27506599115432, -123.20655501267096
Maple Grove Park;Park - Field House;Central, field house;Kerrisdale;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.15958297476698, 49.22338402069528], ""type"": ""Point""}";49.22338402069528, -123.15958297476698
Memorial South Park;Park - Field House;Oval;Sunset;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.08438800219717, 49.230738034136294], ""type"": ""Point""}";49.230738034136294, -123.08438800219717
Montgomery Park;Park - Field House;North east corner;Oakridge;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.12924098629415, 49.2318260455406], ""type"": ""Point""}";49.2318260455406, -123.12924098629415
Pandora Park;Park - Field House;South side, fieldhouse;Grandview-Woodland;9:00 am - 7:00 pm;Closed;No;;"{""coordinates"": [-123.05747804862285, 49.2822799973955], ""type"": ""Point""}";49.2822799973955, -123.05747804862285
Riverfront Park;Park - Public Washroom;North side;Killarney;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.05184697138017, 49.2057680363815], ""type"": ""Point""}";49.2057680363815, -123.05184697138017
Ross Park;Park - Field House;South west corner, fieldhouse;Sunset;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.08279803559799, 49.216699980120325], ""type"": ""Point""}";49.216699980120325, -123.08279803559799
West Point Grey Park;Park - Field House;Centre;West Point Grey;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.20457956432331, 49.2665415424518], ""type"": ""Point""}";49.2665415424518, -123.20457956432331
Champlain Heights;Community Center;3350 Maquinna Drive;Killarney;as per CC operating hours;as per CC operating hours;;Maintained by Rec Center;"{""coordinates"": [-123.03206634777003, 49.21444806144973], ""type"": ""Point""}";49.21444806144973, -123.03206634777003
Coal Harbour;Community Center;480 Broughton St;Downtown;as per CC operating hours;as per CC operating hours;;Maintained by Rec Center;"{""coordinates"": [-123.12505292931655, 49.29029937888676], ""type"": ""Point""}";49.29029937888676, -123.12505292931655
Hillcrest;Community Center;4575 Clancy Loranger Way;Riley Park;as per CC operating hours;as per CC operating hours;;Maintained by Rec Center;"{""coordinates"": [-123.10801095525639, 49.24386283539728], ""type"": ""Point""}";49.24386283539728, -123.10801095525639
Kerrisdale;Community Center;5851 West Boulevard;Kerrisdale;as per CC operating hours;as per CC operating hours;;Maintained by Rec Center;"{""coordinates"": [-123.157092907393, 49.233185354157136], ""type"": ""Point""}";49.233185354157136, -123.157092907393
Ray-Cam Co-Operative Center;Community Center;920 E Hastings St;Strathcona;as per CC operating hours;as per CC operating hours;;Maintained by Rec Center;"{""coordinates"": [-123.08408933364618, 49.28073616037553], ""type"": ""Point""}";49.28073616037553, -123.08408933364618
Thunderbird;Community Center;2311 Cassiar St;Hastings-Sunrise;as per CC operating hours;as per CC operating hours;;Maintained by Rec Center;"{""coordinates"": [-123.03210372093348, 49.26360783508792], ""type"": ""Point""}";49.26360783508792, -123.03210372093348
Trout Lake;Community Center;3360 Victoria Drive;Kensington-Cedar Cottage;as per CC operating hours;as per CC operating hours;;Maintained by Rec Center;"{""coordinates"": [-123.0655282767287, 49.25529203109934], ""type"": ""Point""}";49.25529203109934, -123.0655282767287
West Point Grey;Community Center;4397 W 2nd Av;West Point Grey;as per CC operating hours;as per CC operating hours;;Maintained by Rec Center;"{""coordinates"": [-123.20453347756238, 49.271797159807804], ""type"": ""Point""}";49.271797159807804, -123.20453347756238
Kitsilano Beach Park;Park - Field House;Kitsilano Showboat concession;Kitsilano;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.15754296825493, 49.273014033021276], ""type"": ""Point""}";49.273014033021276, -123.15754296825493
Queen Elizabeth Park;Park - Field House;Fieldhouse;Riley Park;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.11157705659876, 49.2389380168478], ""type"": ""Point""}";49.2389380168478, -123.11157705659876
Queen Elizabeth Park;Park - Public Washroom;Lookout;Riley Park;7:30 am - 9:00 pm;7:30 am - 9:00 pm;No;;"{""coordinates"": [-123.1129392155845, 49.24221158928431], ""type"": ""Point""}";49.24221158928431, -123.1129392155845
Queen Elizabeth Park;Park - Public Washroom;"Under ""Seasons""";Riley Park;7:30 am - 9:00 pm;7:30 am - 9:00 pm;No;;"{""coordinates"": [-123.11176444175848, 49.24182883201318], ""type"": ""Point""}";49.24182883201318, -123.11176444175848
VanDusen Botanical Garden;Park - Other Facilities;At front entrance;Shaughnessy;;;No;;"{""coordinates"": [-123.12863834069155, 49.23851044913808], ""type"": ""Point""}";49.23851044913808, -123.12863834069155
Stanley Park;Park - Public Washroom;Prospect Point;;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.1426488314594, 49.312411041972126], ""type"": ""Point""}";49.312411041972126, -123.1426488314594
Stanley Park;Park - Field House;2nd Beach, fieldhouse;;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.15058105411318, 49.2955311006131], ""type"": ""Point""}";49.2955311006131, -123.15058105411318
Stanley Park;Park - Public Washroom;Pitch & Putt Golf Course;;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.14659902498151, 49.293035036480276], ""type"": ""Point""}";49.293035036480276, -123.14659902498151
Stanley Park;Park - Field House;3rd Beach, fieldhouse;;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.15593104827661, 49.303152991481056], ""type"": ""Point""}";49.303152991481056, -123.15593104827661
Stanley Park;Park - Public Washroom;Train, Picnic Shelter;;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.1329230416995, 49.30206900196531], ""type"": ""Point""}";49.30206900196531, -123.1329230416995
Stanley Park;Park - Public Washroom;Pavilion;;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.13405101599089, 49.29954903031209], ""type"": ""Point""}";49.29954903031209, -123.13405101599089
Sunset Beach;Park - Vancouver Aquatic Center;Vancouver Aquatic Center;West End;;;;;"{""coordinates"": [-123.1354245669431, 49.27677906038726], ""type"": ""Point""}";49.27677906038726, -123.1354245669431
Kingcrest Park;Park - Public Washroom;Playground;Kensington-Cedar Cottage;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.07460205675565, 49.247311891660345], ""type"": ""Point""}";49.247311891660345, -123.07460205675565
Vancouver Technical Secondary;Park - Public Washroom;NE of synturf field;Renfrew-Collingwood;;;;;"{""coordinates"": [-123.05008933604122, 49.260558155229134], ""type"": ""Point""}";49.260558155229134, -123.05008933604122
Coopers' Park;Park - Portland Loo;East side of baskeball court;Downtown;24 hrs;24 hrs;Yes;;"{""coordinates"": [-123.11441858743608, 49.27304228604446], ""type"": ""Point""}";49.27304228604446, -123.11441858743608
Kinross Corridor - South;Park - Portland Loo;Central;Killarney;24 hours;24 hours;Yes;;"{""coordinates"": [-123.03719454359039, 49.20494028165919], ""type"": ""Point""}";49.20494028165919, -123.03719454359039
;SmallAPT;Richards St and Davie St, Emery Barnes Park;Downtown;24hrs - 24hrs;24hrs - 24hrs;No;;"{""coordinates"": [-123.12409855430492, 49.27604879058913], ""type"": ""Point""}";49.27604879058913, -123.12409855430492
;SmallAPT;Bute St and Davie St;West End;24hrs - 24hrs;24hrs - 24hrs;No;;"{""coordinates"": [-123.1331255518689, 49.28184849172984], ""type"": ""Point""}";49.28184849172984, -123.1331255518689
;ComfortStation;Victory Square;Downtown;6:00am - Midnight;6:00am - Midnight;No;;"{""coordinates"": [-123.11011655435033, 49.282584988709225], ""type"": ""Point""}";49.282584988709225, -123.11011655435033
