"nta2020","ntaname","n_tracts","boroname","n_boroughs","pop_total","households","pop_65plus","pop_disabled","pov_below","pov_universe","dis_universe","med_hh_income_hhwtd","inc_tracts_used","poverty_rate","pct_65plus","disability_rate"
"MN6491","Central Park",1,"Manhattan",1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"QN0101","Astoria (North)-Ditmars-Steinway",17,"Queens",1,48620,20521,6650,4435,5050,48422,48620,100929,16,0.104291437776217,0.136774989716166,0.0912176059234883
"QN0102","Old Astoria-Hallets Point",6,"Queens",1,13998,6641,1761,1961,2699,13948,13996,112417,5,0.193504445081732,0.125803686240892,0.140111460417262
"QN0103","Astoria (Central)",11,"Queens",1,48044,24001,6095,3870,4578,47712,47761,101745,11,0.0959507042253521,0.126862875697277,0.0810284541780951
"QN0104","Astoria (East)-Woodside (North)",14,"Queens",1,36805,16717,4995,3732,4371,36741,36802,79887,14,0.118967910508696,0.135715256079337,0.101407532199337
"QN0105","Queensbridge-Ravenswood-Dutch Kills",12,"Queens",1,29051,13688,3882,3600,6146,28861,29051,76600,11,0.212951734174145,0.133627069636157,0.123920002753778
"QN0151","Rikers Island",1,"Bronx",1,2950,0,91,0,0,0,0,NA,NA,NA,0.0308474576271186,NA
"QN0161","Sunnyside Yards (North)",1,"Queens",1,344,175,0,0,22,343,343,184083,1,0.0641399416909621,0,0
"QN0171","St. Michael's Cemetery",1,"Queens",1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"QN0191","Astoria Park",1,"Queens",1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"QN0201","Long Island City-Hunters Point",9,"Queens",1,30464,15844,1548,1421,2411,30464,30443,170326,7,0.0791425945378151,0.0508140756302521,0.0466773971027823
"QN0202","Sunnyside",18,"Queens",1,46879,21055,6366,3680,5974,46645,46747,81960,14,0.128073748526101,0.135796412039506,0.0787216291954564
"QN0203","Woodside",14,"Queens",1,46947,18812,8477,3358,4129,46495,46716,75617,14,0.0888052478761157,0.1805653183377,0.0718811542084083
"QN0261","Sunnyside Yards (South)",1,"Queens",1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"QN0271","Calvary & Mount Zion Cemeteries",1,"Queens",1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"QN0301","Jackson Heights",20,"Queens",1,93975,35581,16375,10048,12318,93562,93709,79884,20,0.131656014193797,0.174248470337856,0.10722555997823
"QN0302","East Elmhurst",10,"Queens",1,29093,8647,4309,2770,4225,28350,28685,80116,10,0.149029982363316,0.148111229505379,0.0965661495555168
"QN0303","North Corona",10,"Queens",1,38521,9738,3240,2912,6621,38291,38472,80006,10,0.172912694889138,0.0841099659925755,0.0756914119359534
"QN0401","Elmhurst",23,"Queens",1,100015,33039,13881,8491,14839,99136,99802,72467,23,0.149683263395739,0.138789181622757,0.0850784553415763
"QN0402","Corona",17,"Queens",1,67341,20432,9579,9178,13547,65933,66838,69520,17,0.205466155036173,0.142246179890409,0.137317095065681
"QN0501","Maspeth",20,"Queens",1,40680,14746,6849,3926,5126,40374,40455,87267,18,0.126962896913855,0.168362831858407,0.0970461006056112
"QN0502","Ridgewood",19,"Queens",1,66747,25112,7619,5811,8978,66482,66678,87554,18,0.135044072079661,0.114147452319954,0.0871501844686403
"QN0503","Glendale",13,"Queens",1,35585,12880,5838,3341,3209,35419,35558,94437,13,0.0906010898105537,0.164057889560208,0.0939591653073851
"QN0504","Middle Village",14,"Queens",1,34057,12976,8239,4207,2778,33603,33715,94141,13,0.082671190072315,0.241917961065273,0.124781254634436
"QN0571","Mount Olivet & All Faiths Cemeteries",1,"Queens",1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"QN0572","Middle Village Cemetery",1,"Queens",1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"QN0573","St. John Cemetery",1,"Queens",1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
