ntaname,type,lon,lat,residents,subway,jobs,dist_2pm_m,dist_9pm_m,poverty,borough,demand_pct,gap_type,n_broken,n_day_only,n_day_only_park,broken_names,day_names,first_action,order,stable_weights,stable_settings
Lincoln Terrace Park,park,-73.92802,40.66522,19694,1394873,1444,132,3893,0.35,Brooklyn,67,evening-only,0,1,1,"",Lincoln Terrace Park / Arthur S. Somers Playground,Keep a nearby park restroom open later,82,0.92,0.44
Gravesend (East)-Homecrest,park,-73.95822,40.60445,11692,4503120,10697,777,3804,0.321,Brooklyn,82,all-day,0,0,0,"","",Build a new unit,83,1,1
Flushing-Willets Point,park,-73.82489,40.75832,26211,15017678,10744,39,1493,0.161,Queens,78,evening-only,0,3,2,"","Bowne Playground; Maple Playground; Flushing Library, QPL",Keep a nearby park restroom open later,84,1,0.67
Flushing-Willets Point,busy_street,-73.83555,40.75833,7480,15017678,17848,566,855,0.244,Queens,78,all-day,0,0,0,"","",Build a new unit,85,1,1
Long Island City-Hunters Point,busy_street,-73.9521,40.74283,9427,5886234,10543,561,1942,0.051,Queens,79,all-day,0,0,0,"","",Build a new unit,86,0.66,1
Corona,park,-73.86222,40.74891,22388,5569769,2673,35,1789,0.147,Queens,79,evening-only,0,3,1,"","Park Of The Americas; Corona Plaza APT; Corona Library, QPL",Keep a nearby park restroom open later,87,0.97,0.67
Bay Ridge,park,-74.02203,40.63688,14584,1871589,3124,278,4662,0.188,Brooklyn,78,evening-only,0,2,2,"",Millennium Playground; John Allen Payne Playground,Keep a nearby park restroom open later,88,1,0.67
Harlem (North),park,-73.93675,40.81922,24598,690355,3419,64,2858,0.245,Manhattan,77,evening-only,0,4,4,"",Fred Samuel Playground; Brigadier General Charles Young Playground; Renaissance Playground; Mill Pond Playground,Keep a nearby park restroom open later,89,1,0.67
Woodside,park,-73.9084,40.74626,13603,5426306,4375,155,4358,0.122,Queens,77,evening-only,0,2,1,"","Lawrence Virgilio Playground; Woodside Library, QPL",Keep a nearby park restroom open later,90,0.9,0.67
Tremont,busy_street,-73.89937,40.84756,14137,0,4895,187,956,0.415,Bronx,64,evening-only,0,2,1,"","Richman (Echo) Park; Tremont Library, NYPL",Keep a nearby park restroom open later,91,1,0.67
